Itr,BestVar,Min Magnitude,BestMean,Mean Magnitude,StepSize,Max Magnitude,PolicyExecTime,StepNum,ProcessExecTime,EnvExecTime

0,1.2924697071141057e-26,1.0,-612.3538877740408,1.0,0.01,1.0,1.8333933353424072,2500,0.04178047180175781,0.5118591785430908

1,1.2924697071141057e-26,0.01,-610.0107950321437,0.01,0.01,0.01,1.5329430103302002,5000,0.028042316436767578,0.4526951313018799

2,1.2924697071141057e-26,0.01,-610.0107950321437,0.01,0.01,0.01,0.998725175857544,7500,0.0223238468170166,0.39712023735046387

3,0.0,0.01,-599.6008419372972,0.01,0.01,0.01,1.4354867935180664,10000,0.021254539489746094,0.43299341201782227

4,0.0,0.01,-599.6008419372972,0.01,0.01,0.01,1.1627230644226074,12500,0.020939111709594727,0.3855147361755371

5,0.0,0.01,-599.6008419372972,0.01,0.01,0.01,1.3464891910552979,15000,0.024785518646240234,0.4196619987487793

6,0.0,0.01,-599.6008419372972,0.01,0.01,0.01,1.5046451091766357,17500,0.049695730209350586,0.5078625679016113

7,0.0,0.01,-599.6008419372972,0.01,0.01,0.01,1.3552353382110596,20000,0.0258944034576416,0.4020092487335205

8,0.0,0.01,-599.6008419372972,0.01,0.01,0.01,0.9856359958648682,22500,0.019525527954101562,0.32967567443847656

9,0.0,0.01,-599.6008419372972,0.01,0.01,0.01,1.0871927738189697,25000,0.024309396743774414,0.3692164421081543

