reward 9,reward 5,reward 7,reward 3,reward 6,reward 8,reward 4,reward 0,reward 2,reward 1,StepNum
-163136.91953320487,-146095.4889753343,-153120.78514399964,-136631.741536821,-151545.08975140977,-153666.80966601387,-144015.08373114397,-436.0556418520218,-460.4413553353957,-450.8388546590611,500
-136162.72277684187,-450.8388546590611,-459.90688545399314,-421.4452229992831,-458.024240121526,-460.4413553353957,-436.0556418520218,-365.97718258780236,-390.785702189451,-386.8822503725896,1000
-459.949972597478,-436.0556418520218,-458.024240121526,-390.785702189451,-450.8388546590611,-459.90688545399314,-421.4452229992831,-365.97718258780236,-389.2081651740635,-386.8822503725896,1500
-424.1737056902174,-403.2697257714869,-419.0588505680903,-390.785702189451,-411.3999661270608,-421.4452229992831,-395.6459529952202,-365.97718258780236,-389.2081651740635,-386.8822503725896,2000
-416.65970861596435,-391.42531326851343,-403.2697257714869,-389.2081651740635,-395.6459529952202,-411.3999661270608,-390.785702189451,-365.97718258780236,-386.8822503725896,-385.665476073503,2500
-411.3999661270608,-391.42531326851343,-395.6459529952202,-389.2081651740635,-391.4922029657131,-403.2697257714869,-390.785702189451,-365.97718258780236,-386.8822503725896,-385.665476073503,3000
-403.2697257714869,-391.42531326851343,-395.6459529952202,-389.2081651740635,-391.4922029657131,-397.48412077341055,-390.785702189451,-365.97718258780236,-386.8822503725896,-385.665476073503,3500
-403.2697257714869,-391.42531326851343,-395.6459529952202,-389.2081651740635,-391.4922029657131,-397.48412077341055,-390.785702189451,-365.97718258780236,-386.8822503725896,-385.665476073503,4000
-403.2697257714869,-391.42531326851343,-395.6459529952202,-389.2081651740635,-391.4922029657131,-397.48412077341055,-390.785702189451,-365.97718258780236,-386.8822503725896,-385.665476073503,4500
-395.6459529952202,-389.2081651740635,-391.42531326851343,-385.665476073503,-390.785702189451,-391.4922029657131,-386.8822503725896,-365.97718258780236,-383.1176460442634,-372.602052771086,5000
-391.4922029657131,-386.8822503725896,-390.785702189451,-383.1176460442634,-389.2081651740635,-391.42531326851343,-385.665476073503,-365.97718258780236,-372.602052771086,-368.4096175915865,5500
